# COLDARRI   COLDARRX   COLDARRY   COLDARRZ
#
      1564       3.40        245    94.3319
      1566       5.60        275     88.909
      1567       4.40         95    70.3694
      1568       2.00        250      17.04
      1573       2.40        255    32.7261
      1574       2.30        265    79.3992
      1577       4.30        135    74.7594
      1580       3.50        275    24.9543
      1582       3.10        195    3.31993
      1586       2.50        265    6.03132
      1587       5.10        150    86.2518
      1589       2.90        115    7.33586
      1590       5.20        200    86.9825
      1591       3.90         60    17.7847
      1592       2.50        255    6.89413
      1594       2.40         35     45.585
      1595       4.60        155    81.7583
      1597       4.10        130    110.788
      1598       3.70        135    28.7923
      1599       3.50        230    17.9597
      1600       4.70         60    74.4823
      1601       2.30        195     100.43
      1602       2.10         45     34.083
      1604       2.70        100    8.31142
      1605       4.90        275    88.8193
      1606       2.80         80    15.2219
      1607       3.10        125    49.3327
      1608       3.00         70    13.0403
      1609       3.10        135    68.3654
      1610       2.50         35    50.2723
      1611       2.40        100    39.1501
      1612       4.50        100    51.8262
      1613       2.50        160    89.1767
      1614       2.20        200    17.7075
      1619       3.00        185    83.3105
      1620       3.80         50    11.3852
      1621       3.30        235    9.35908
      1622       3.90         95    76.5158
      1623       3.60        155    17.6048
      1624       3.90        235    55.6083
      1627       3.20        275    7.61256
      1630       2.50        170    13.2203
      1632       4.90        290    83.9991
      1633       3.20        175    4.16247
      1634       3.80         75    31.2452
      1635       3.50        115    7.98151
      1636       3.10         75    2.85183
      1637       2.60        245    5.22656
      1639       2.50         90    13.9566
      1640       4.90         95    83.1019
      1641       3.10         25    47.3078
      1642       2.40        160    13.0329
      1645       4.40         60    66.5935
      1646       4.30        150    73.2627
      1649       4.10        225    69.3824
      1650       3.10        245    70.1503
      1651       4.10         55    36.0445
      1656       4.20        220    73.9112
      1658       3.10        185    4.59022
      1659       3.30         25    33.2807
      1661       2.20         40    54.9431
      1662       3.30         40    83.1342
      1664       2.10        135    49.2115
      1666       2.20        145    88.9993
      1668       2.60        245    24.3215
      1671       2.20        100    15.1618
      1672       2.60         70    28.2364
      1674       2.10         75     43.807
      1676       5.30        270    90.0678
      1679       2.80         30    14.4942
      1680       3.20        285    77.6956
      1681       2.10         30    142.382
      1682       2.60        240    8.31688
      1684       2.20        140    40.1632
      1687       3.90         75    49.1111
      1688       4.00         50    29.2898
      1690       5.70        225    92.0339
      1691       5.00        155     74.007
      1693       3.10        295    17.4603
      1694       2.10         70    43.7181
      1695       2.60        205    64.8485
      1697       2.20        295    91.3969
      1699       4.30         70    64.7372
      1700       5.00        245    74.8753
      1702       3.50        200    91.7471
      1704       2.00         65    48.7662
      1707       5.00        215    83.6402
      1708       2.40         50    81.6363
      1713       2.00        170    208.816
      1717       2.20        250    20.9362
      1719       3.20         75    81.9596
      1721       3.00        240    2.85964
      1723       4.80        165    86.5603
      1724       3.30         45    9.67732
      1726       3.80        150    52.3254
      1728       3.80        155    36.4167
      1729       5.30        255     88.877
      1732       5.30         50    87.0068
      1733       2.10         45    56.6621
      1734       3.30        240     80.622
      1735       2.20        215     13.047
      1736       4.20         30    26.0458
      1737       2.10         30    61.9362
      1738       3.60         95    85.2859
